,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Liechtenstein,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",708 €,19h 20m,12:30,15:50,1 escale,Thai Airways
1,Liechtenstein,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",625 €,22h 0m,07:30,13:30,2 escales,China Airlines
2,Liechtenstein,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",801 €,17h 35m,11:20,12:55,1 escale,Eva Air
3,Liechtenstein,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",816 €,19h 10m,09:30,12:40,1 escale,Etihad Airways
4,Liechtenstein,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",625 €,25h 5m,07:30,16:35,2 escales,China Airlines
5,Liechtenstein,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",829 €,19h 20m,12:15,15:35,1 escale,Cathay Pacific
6,Liechtenstein,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",954 €,16h 55m,12:15,13:10,1 escale,Cathay Pacific
7,Liechtenstein,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",775 €,22h 20m,07:10,13:30,2 escales,Plusieurs compagnies
8,Liechtenstein,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",801 €,24h 0m,11:20,19:20,1 escale,Eva Air
9,Liechtenstein,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",882 €,22h 0m,09:50,15:50,2 escales,Plusieurs compagnies
10,Liechtenstein,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",883 €,22h 0m,07:10,13:10,3 escales,Plusieurs compagnies
11,Liechtenstein,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",775 €,25h 25m,07:10,16:35,2 escales,Plusieurs compagnies
12,Liechtenstein,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",805 €,24h 35m,07:30,16:05,3 escales,Plusieurs compagnies
13,Liechtenstein,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",830 €,24h 0m,09:20,17:20,2 escales,Plusieurs compagnies
14,Liechtenstein,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",872 €,23h 5m,07:10,14:15,3 escales,Plusieurs compagnies
15,Liechtenstein,27/02/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",145 €,3h 15m,12:10,14:25,Direct,Royal Air Maroc
