,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Macao,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",709 €,19h 20m,12:30,15:50,1 escale,Thai Airways
1,Macao,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",632 €,22h 0m,07:30,13:30,2 escales,China Airlines
2,Macao,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",801 €,17h 35m,11:20,12:55,1 escale,Eva Air
3,Macao,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",816 €,19h 10m,09:30,12:40,1 escale,Etihad Airways
4,Macao,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",632 €,25h 5m,07:30,16:35,2 escales,China Airlines
5,Macao,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",824 €,19h 20m,12:15,15:35,1 escale,Cathay Pacific
6,Macao,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",956 €,16h 55m,12:15,13:10,1 escale,Cathay Pacific
7,Macao,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",780 €,23h 40m,22:20,06:00,1 escale,Plusieurs compagnies
8,Macao,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",801 €,24h 0m,11:20,19:20,1 escale,Eva Air
9,Macao,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",1 035 €,18h 35m,15:20,17:55,1 escale,Qatar Airways
10,Macao,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",824 €,25h 5m,12:15,21:20,1 escale,Cathay Pacific
11,Macao,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",592 €,39h 30m,19:45,19:15,1 escale,LOT Polish Airlines
12,Macao,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",924 €,25h 30m,08:25,17:55,1 escale,Qatar Airways
13,Macao,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",740 €,33h 50m,13:10,07:00,1 escale,Vietnam Airlines
14,Macao,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",794 €,32h 5m,19:45,11:50,2 escales,Plusieurs compagnies
15,Macao,27/02/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",146 €,3h 15m,12:10,14:25,Direct,Royal Air Maroc
16,Macao,27/02/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",131 €,6h 0m,15:55,20:55,1 escale,Plusieurs compagnies
17,Macao,27/02/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",119 €,6h 45m,16:45,22:30,1 escale,Plusieurs compagnies
