,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Liechtenstein,02/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",653 €,16h 30m,07:20,07:50,1 escale,Turkish Airlines
1,Liechtenstein,02/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",696 €,18h 35m,15:20,17:55,1 escale,Qatar Airways
2,Liechtenstein,02/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",798 €,17h 35m,11:20,12:55,1 escale,Eva Air
3,Liechtenstein,02/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",832 €,16h 55m,12:15,13:10,1 escale,Cathay Pacific
4,Liechtenstein,02/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",465 €,31h 20m,21:20,12:40,2 escales,Plusieurs compagnies
5,Liechtenstein,02/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",799 €,18h 55m,14:25,17:20,1 escale,Emirates
6,Liechtenstein,02/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",835 €,19h 20m,12:30,15:50,1 escale,Thai Airways
7,Liechtenstein,02/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",739 €,23h 5m,10:50,17:55,2 escales,Plusieurs compagnies
8,Liechtenstein,02/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",745 €,23h 10m,10:50,18:00,2 escales,Plusieurs compagnies
9,Liechtenstein,02/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",672 €,26h 55m,07:00,17:55,3 escales,Plusieurs compagnies
10,Liechtenstein,02/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",717 €,25h 30m,08:25,17:55,1 escale,Qatar Airways
11,Liechtenstein,02/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",959 €,19h 20m,12:15,15:35,1 escale,Cathay Pacific
12,Liechtenstein,02/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",801 €,23h 20m,10:00,17:20,1 escale,Emirates
13,Liechtenstein,02/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",663 €,28h 55m,18:55,07:50,1 escale,Turkish Airlines
