,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Liechtenstein,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",152 €,3h 15m,12:10,14:25,Direct,Royal Air Maroc
1,Liechtenstein,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",117 €,5h 15m,13:45,18:00,1 escale,Plusieurs compagnies
2,Liechtenstein,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",175 €,5h 40m,16:15,20:55,1 escale,Plusieurs compagnies
3,Liechtenstein,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",165 €,6h 35m,13:00,18:35,1 escale,Plusieurs compagnies
4,Liechtenstein,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",173 €,7h 25m,07:55,14:20,1 escale,Plusieurs compagnies
5,Liechtenstein,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",132 €,9h 50m,08:15,17:05,1 escale,Plusieurs compagnies
6,Liechtenstein,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",219 €,6h 0m,14:10,19:10,1 escale,Plusieurs compagnies
7,Liechtenstein,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",167 €,8h 40m,13:55,21:35,1 escale,Plusieurs compagnies
8,Liechtenstein,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",155 €,9h 35m,12:20,20:55,2 escales,TAP Air Portugal
9,Liechtenstein,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",85 €,18h 5m,16:45,09:50,1 escale,TAP Air Portugal
10,Liechtenstein,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",65 €,24h 0m,16:45,15:45,1 escale,TAP Air Portugal
11,Liechtenstein,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",160 €,10h 5m,16:45,01:50,2 escales,Plusieurs compagnies
12,Liechtenstein,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",164 €,9h 55m,08:20,17:15,1 escale,Plusieurs compagnies
13,Liechtenstein,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",222 €,7h 35m,17:05,23:40,1 escale,Plusieurs compagnies
14,Liechtenstein,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",205 €,8h 40m,15:30,23:10,1 escale,Plusieurs compagnies
