,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Monaco,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",458 €,13h 25m,22:40,13:05,1 escale,Ethiopian Airlines
1,Monaco,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",563 €,13h 15m,20:05,10:20,1 escale,Swiss
2,Monaco,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",492 €,15h 10m,06:00,22:10,1 escale,KLM
3,Monaco,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",470 €,16h 35m,13:45,07:20,1 escale,Plusieurs compagnies
4,Monaco,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",560 €,13h 55m,18:40,09:35,1 escale,Lufthansa
5,Monaco,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",572 €,15h 30m,17:05,09:35,2 escales,Lufthansa
6,Monaco,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",581 €,15h 35m,17:00,09:35,2 escales,Plusieurs compagnies
7,Monaco,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",534 €,17h 0m,15:40,09:40,1 escale,Qatar Airways
8,Monaco,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",534 €,17h 15m,09:45,04:00,1 escale,Qatar Airways
9,Monaco,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",470 €,20h 15m,10:05,07:20,1 escale,Plusieurs compagnies
10,Monaco,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",581 €,16h 35m,16:00,09:35,2 escales,Plusieurs compagnies
11,Monaco,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",644 €,15h 35m,17:00,09:35,2 escales,Plusieurs compagnies
12,Monaco,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",487 €,20h 50m,13:05,10:55,2 escales,Plusieurs compagnies
13,Monaco,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",581 €,17h 35m,15:00,09:35,2 escales,Plusieurs compagnies
14,Monaco,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",499 €,20h 50m,13:05,10:55,2 escales,Plusieurs compagnies
