,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Monaco,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",427 €,19h 10m,09:30,12:40,1 escale,Etihad Airways
1,Monaco,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",765 €,13h 45m,11:25,09:10,Direct,Air France
2,Monaco,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",714 €,19h 20m,12:30,15:50,1 escale,Thai Airways
3,Monaco,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",783 €,18h 35m,15:20,17:55,1 escale,Qatar Airways
4,Monaco,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",801 €,18h 55m,14:25,17:20,1 escale,Emirates
5,Monaco,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",861 €,19h 30m,15:30,19:00,1 escale,Plusieurs compagnies
6,Monaco,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",714 €,24h 0m,11:00,19:00,2 escales,Plusieurs compagnies
7,Monaco,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",697 €,25h 30m,08:25,17:55,1 escale,Qatar Airways
8,Monaco,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",801 €,23h 20m,10:00,17:20,1 escale,Emirates
9,Monaco,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",586 €,32h 15m,20:25,12:40,2 escales,Plusieurs compagnies
10,Monaco,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",808 €,23h 40m,22:20,06:00,1 escale,Plusieurs compagnies
11,Monaco,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",732 €,27h 5m,18:55,06:00,2 escales,Plusieurs compagnies
12,Monaco,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",672 €,30h 30m,22:10,12:40,3 escales,Plusieurs compagnies
13,Monaco,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",484 €,42h 50m,16:25,19:15,3 escales,Plusieurs compagnies
14,Monaco,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",503 €,42h 40m,16:35,19:15,3 escales,Plusieurs compagnies
