,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Qatar,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",428 €,19h 10m,09:30,12:40,1 escale,Etihad Airways
1,Qatar,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",765 €,13h 45m,11:25,09:10,Direct,Air France
2,Qatar,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",714 €,19h 20m,12:30,15:50,1 escale,Thai Airways
3,Qatar,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",785 €,18h 35m,15:20,17:55,1 escale,Qatar Airways
4,Qatar,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",801 €,18h 55m,14:25,17:20,1 escale,Emirates
5,Qatar,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",861 €,19h 30m,15:30,19:00,1 escale,Plusieurs compagnies
6,Qatar,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",729 €,23h 40m,22:20,06:00,1 escale,Plusieurs compagnies
7,Qatar,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",721 €,24h 0m,11:00,19:00,2 escales,Plusieurs compagnies
8,Qatar,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",697 €,25h 30m,08:25,17:55,1 escale,Qatar Airways
9,Qatar,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",801 €,23h 20m,10:00,17:20,1 escale,Emirates
10,Qatar,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",586 €,32h 15m,20:25,12:40,2 escales,Plusieurs compagnies
11,Qatar,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",732 €,27h 5m,18:55,06:00,2 escales,Plusieurs compagnies
12,Qatar,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",672 €,30h 30m,22:10,12:40,3 escales,Plusieurs compagnies
13,Qatar,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",572 €,39h 30m,19:45,19:15,1 escale,LOT Polish Airlines
14,Qatar,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",739 €,32h 5m,19:45,11:50,2 escales,Plusieurs compagnies
