,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Qatar,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",340 €,12h 15m,22:45,18:00,1 escale,TAP Air Portugal
1,Qatar,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",310 €,15h 30m,21:45,20:15,1 escale,Plusieurs compagnies
2,Qatar,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",359 €,14h 45m,21:45,19:30,1 escale,Plusieurs compagnies
3,Qatar,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",340 €,17h 20m,17:40,18:00,1 escale,TAP Air Portugal
4,Qatar,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",403 €,15h 45m,22:45,21:30,2 escales,TAP Air Portugal
5,Qatar,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",472 €,14h 0m,23:15,20:15,1 escale,Plusieurs compagnies
6,Qatar,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",607 €,11h 0m,20:05,14:05,1 escale,Air Canada
7,Qatar,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",607 €,11h 0m,20:05,14:05,1 escale,Plusieurs compagnies
8,Qatar,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",609 €,11h 0m,20:05,14:05,1 escale,Lufthansa
9,Qatar,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",490 €,13h 50m,18:25,15:15,1 escale,Plusieurs compagnies
10,Qatar,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",401 €,17h 5m,17:40,17:45,2 escales,TAP Air Portugal
11,Qatar,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",520 €,13h 15m,23:15,19:30,1 escale,Plusieurs compagnies
12,Qatar,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",436 €,16h 20m,22:45,22:05,2 escales,TAP Air Portugal
13,Qatar,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",439 €,16h 35m,21:45,21:20,2 escales,Plusieurs compagnies
14,Qatar,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",605 €,12h 5m,18:55,14:00,1 escale,Air France
