,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Liechtenstein,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",401 €,19h 10m,09:30,12:40,1 escale,Etihad Airways
1,Liechtenstein,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",510 €,15h 30m,19:45,19:15,1 escale,LOT Polish Airlines
2,Liechtenstein,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",765 €,13h 25m,11:45,09:10,Direct,Air France
3,Liechtenstein,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",567 €,19h 45m,15:30,19:15,2 escales,Plusieurs compagnies
4,Liechtenstein,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",512 €,22h 55m,12:20,19:15,2 escales,Plusieurs compagnies
5,Liechtenstein,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",510 €,24h 25m,10:50,19:15,1 escale,LOT Polish Airlines
6,Liechtenstein,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",589 €,21h 30m,13:45,19:15,2 escales,Plusieurs compagnies
7,Liechtenstein,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",560 €,22h 55m,12:20,19:15,2 escales,Plusieurs compagnies
8,Liechtenstein,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",538 €,23h 55m,11:20,19:15,2 escales,Plusieurs compagnies
9,Liechtenstein,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",697 €,18h 35m,15:20,17:55,1 escale,Qatar Airways
10,Liechtenstein,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",771 €,16h 55m,11:25,12:20,1 escale,Korean Air
11,Liechtenstein,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",511 €,25h 40m,09:35,19:15,2 escales,Plusieurs compagnies
12,Liechtenstein,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",522 €,25h 15m,10:00,19:15,3 escales,Plusieurs compagnies
13,Liechtenstein,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",516 €,25h 40m,09:35,19:15,3 escales,Plusieurs compagnies
14,Liechtenstein,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",562 €,23h 55m,11:20,19:15,2 escales,Plusieurs compagnies
