,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Luxembourg,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 212 €,26h 15m,07:30,19:45,2 escales,China Airlines
1,Luxembourg,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 321 €,26h 35m,07:10,19:45,2 escales,Plusieurs compagnies
2,Luxembourg,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 239 €,30h 0m,18:55,10:55,2 escales,Plusieurs compagnies
3,Luxembourg,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 237 €,30h 55m,13:10,06:05,2 escales,Plusieurs compagnies
4,Luxembourg,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 214 €,31h 35m,12:30,06:05,2 escales,Plusieurs compagnies
5,Luxembourg,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 478 €,26h 20m,07:25,19:45,2 escales,Plusieurs compagnies
6,Luxembourg,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 239 €,31h 40m,17:15,10:55,2 escales,Plusieurs compagnies
7,Luxembourg,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 571 €,25h 10m,21:00,08:10,1 escale,Air India
8,Luxembourg,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 389 €,28h 55m,22:05,13:00,3 escales,Plusieurs compagnies
9,Luxembourg,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 456 €,27h 45m,21:10,10:55,2 escales,Plusieurs compagnies
10,Luxembourg,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 239 €,33h 25m,15:30,10:55,2 escales,Plusieurs compagnies
11,Luxembourg,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 977 €,21h 15m,10:40,17:55,1 escale,Singapore Airlines
12,Luxembourg,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 293 €,32h 55m,18:05,13:00,3 escales,Plusieurs compagnies
13,Luxembourg,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 325 €,32h 20m,22:05,16:25,3 escales,Plusieurs compagnies
14,Luxembourg,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 205 €,35h 40m,15:20,13:00,3 escales,Plusieurs compagnies
