,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Macao,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",401 €,19h 10m,09:30,12:40,1 escale,Etihad Airways
1,Macao,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",510 €,15h 30m,19:45,19:15,1 escale,LOT Polish Airlines
2,Macao,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",765 €,13h 25m,11:45,09:10,Direct,Air France
3,Macao,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",531 €,19h 45m,15:30,19:15,2 escales,Plusieurs compagnies
4,Macao,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",512 €,22h 55m,12:20,19:15,2 escales,Plusieurs compagnies
5,Macao,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",594 €,20h 30m,14:45,19:15,3 escales,Plusieurs compagnies
6,Macao,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",510 €,24h 25m,10:50,19:15,1 escale,LOT Polish Airlines
7,Macao,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",543 €,23h 15m,12:00,19:15,2 escales,Plusieurs compagnies
8,Macao,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",589 €,21h 30m,13:45,19:15,2 escales,Plusieurs compagnies
9,Macao,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",560 €,22h 55m,12:20,19:15,2 escales,Plusieurs compagnies
10,Macao,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",538 €,23h 55m,11:20,19:15,2 escales,Plusieurs compagnies
11,Macao,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",697 €,18h 35m,15:20,17:55,1 escale,Qatar Airways
12,Macao,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",512 €,25h 20m,09:55,19:15,2 escales,Plusieurs compagnies
13,Macao,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",771 €,16h 55m,11:25,12:20,1 escale,Korean Air
14,Macao,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",513 €,25h 40m,09:35,19:15,3 escales,Plusieurs compagnies
