,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Monaco,31/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",21 €,2h 0m,16:20,17:20,Direct,Ryanair
1,Monaco,31/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",42 €,2h 0m,07:25,08:25,Direct,Air Baltic
2,Monaco,31/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",64 €,5h 20m,07:05,11:25,1 escale,Plusieurs compagnies
3,Monaco,31/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",95 €,4h 10m,13:50,17:00,1 escale,LOT Polish Airlines
4,Monaco,31/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",38 €,14h 20m,22:10,11:30,1 escale,Ryanair
5,Monaco,31/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",96 €,6h 5m,07:10,12:15,1 escale,Plusieurs compagnies
6,Monaco,31/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",105 €,5h 55m,13:35,18:30,1 escale,Finnair
7,Monaco,31/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",112 €,6h 40m,13:50,19:30,2 escales,Plusieurs compagnies
8,Monaco,31/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",105 €,7h 25m,13:50,20:15,1 escale,Plusieurs compagnies
9,Monaco,31/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",55 €,14h 35m,22:10,11:45,1 escale,Plusieurs compagnies
10,Monaco,31/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",82 €,10h 20m,11:45,21:05,1 escale,Ryanair
11,Monaco,31/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",220 €,4h 5m,17:15,20:20,1 escale,Plusieurs compagnies
12,Monaco,31/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",167 €,5h 25m,07:10,11:35,1 escale,Plusieurs compagnies
13,Monaco,31/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",196 €,4h 55m,07:35,11:30,1 escale,Plusieurs compagnies
14,Monaco,31/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",197 €,5h 15m,07:20,11:35,1 escale,Brussels Airlines
