,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Luxembourg,30/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",110 €,6h 18m,11:59,15:17,Direct,JetBlue
1,Luxembourg,30/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 25m,10:20,13:45,Direct,Delta Air Lines
2,Luxembourg,30/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 25m,07:00,10:25,Direct,Delta Air Lines
3,Luxembourg,30/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 25m,13:45,17:10,Direct,Delta Air Lines
4,Luxembourg,30/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 26m,21:29,00:55,Direct,Delta Air Lines
5,Luxembourg,30/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",110 €,6h 24m,07:00,10:24,Direct,JetBlue
6,Luxembourg,30/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",110 €,6h 25m,09:59,13:24,Direct,JetBlue
7,Luxembourg,30/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 29m,17:15,20:44,Direct,Delta Air Lines
8,Luxembourg,30/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",110 €,6h 27m,21:59,01:26,Direct,JetBlue
9,Luxembourg,30/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",110 €,6h 28m,08:00,11:28,Direct,JetBlue
10,Luxembourg,30/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",110 €,6h 28m,15:30,18:58,Direct,JetBlue
11,Luxembourg,30/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",110 €,6h 29m,09:00,12:29,Direct,JetBlue
12,Luxembourg,30/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",110 €,6h 30m,17:35,21:05,Direct,JetBlue
13,Luxembourg,30/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",110 €,6h 30m,16:30,20:00,Direct,JetBlue
14,Luxembourg,30/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 35m,19:15,22:50,Direct,Delta Air Lines
