,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Qatar,31/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 18m,07:00,10:18,Direct,Delta Air Lines
1,Qatar,31/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 18m,11:59,15:17,Direct,JetBlue
2,Qatar,31/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 22m,17:15,20:37,Direct,Delta Air Lines
3,Qatar,31/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 23m,12:00,15:23,Direct,Delta Air Lines
4,Qatar,31/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 24m,07:00,10:24,Direct,JetBlue
5,Qatar,31/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 25m,09:59,13:24,Direct,JetBlue
6,Qatar,31/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 25m,10:20,13:45,Direct,Delta Air Lines
7,Qatar,31/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 25m,13:45,17:10,Direct,Delta Air Lines
8,Qatar,31/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 27m,21:59,01:26,Direct,JetBlue
9,Qatar,31/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 28m,08:00,11:28,Direct,JetBlue
10,Qatar,31/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 28m,15:30,18:58,Direct,JetBlue
11,Qatar,31/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 29m,09:00,12:29,Direct,JetBlue
12,Qatar,31/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 30m,17:35,21:05,Direct,JetBlue
13,Qatar,31/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 32m,20:00,23:32,Direct,JetBlue
14,Qatar,31/01/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",109 €,6h 35m,08:45,12:20,Direct,Delta Air Lines
