,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Qatar,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 213 €,26h 15m,07:30,19:45,2 escales,China Airlines
1,Qatar,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 353 €,26h 35m,07:10,19:45,2 escales,Plusieurs compagnies
2,Qatar,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 247 €,30h 0m,18:55,10:55,2 escales,Plusieurs compagnies
3,Qatar,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 214 €,31h 35m,12:30,06:05,2 escales,Plusieurs compagnies
4,Qatar,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 558 €,25h 10m,21:00,08:10,1 escale,Air India
5,Qatar,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 247 €,31h 40m,17:15,10:55,2 escales,Plusieurs compagnies
6,Qatar,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 389 €,28h 55m,22:05,13:00,3 escales,Plusieurs compagnies
7,Qatar,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 247 €,33h 25m,15:30,10:55,2 escales,Plusieurs compagnies
8,Qatar,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 977 €,21h 15m,10:40,17:55,1 escale,Singapore Airlines
9,Qatar,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 325 €,32h 20m,22:05,16:25,3 escales,Plusieurs compagnies
10,Qatar,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 204 €,35h 40m,15:20,13:00,3 escales,Plusieurs compagnies
11,Qatar,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 314 €,33h 15m,15:20,10:35,3 escales,Plusieurs compagnies
12,Qatar,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 343 €,32h 55m,18:05,13:00,3 escales,Plusieurs compagnies
13,Qatar,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 248 €,35h 40m,13:15,10:55,2 escales,Plusieurs compagnies
14,Qatar,31/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 397 €,32h 5m,18:55,13:00,3 escales,Plusieurs compagnies
